"Year","Rank","Song Title","Artist(s)","Album"
"02/01/2014","19","Do What U Want","Lady Gaga","MSQ Performs Lady GaGa"
"02/01/2014","48","Applause","Lady Gaga","ARTPOP"
"02/08/2014","25","Do What U Want","Lady Gaga","MSQ Performs Lady GaGa"
"02/15/2014","36","Do What U Want","Lady Gaga","MSQ Performs Lady GaGa"
"02/22/2014","50","Do What U Want","Lady Gaga","MSQ Performs Lady GaGa"
"03/01/2014","68","Do What U Want","Lady Gaga","MSQ Performs Lady GaGa"
"03/08/2014","86","Do What U Want","Lady Gaga","MSQ Performs Lady GaGa"
"03/15/2014","95","Do What U Want","Lady Gaga","MSQ Performs Lady GaGa"
"04/12/2014","76","G.U.Y.","Lady Gaga","ARTPOP"
"03/19/2016","95","Til It Happens To You","Lady Gaga","The Right Songs"
"10/01/2016","15","Perfect Illusion","Lady Gaga","Joanne (Deluxe)"
"10/08/2016","42","Perfect Illusion","Lady Gaga","Joanne (Deluxe)"
"10/15/2016","59","Perfect Illusion","Lady Gaga","Joanne (Deluxe)"
"10/22/2016","69","Perfect Illusion","Lady Gaga","Joanne (Deluxe)"
"10/29/2016","76","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"10/29/2016","95","Perfect Illusion","Lady Gaga","Joanne (Deluxe)"
"11/12/2016","57","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"11/12/2016","66","A-YO","Lady Gaga","Born This Way"
"11/12/2016","78","Perfect Illusion","Lady Gaga","Joanne (Deluxe)"
"11/19/2016","57","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"11/26/2016","96","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"12/24/2016","52","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"12/31/2016","62","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"01/07/2017","70","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"01/14/2017","83","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"01/21/2017","86","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"01/28/2017","96","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"02/11/2017","97","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"02/25/2017","4","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"02/25/2017","50","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/04/2017","18","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"03/11/2017","30","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"03/18/2017","30","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"03/25/2017","29","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"04/01/2017","38","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"04/08/2017","46","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"04/15/2017","37","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"04/22/2017","41","Million Reasons","Lady Gaga","Joanne (Deluxe)"
"05/06/2017","39","The Cure","Lady Gaga","AH Performs Lady Gaga"
"05/13/2017","62","The Cure","Lady Gaga","AH Performs Lady Gaga"
"05/20/2017","55","The Cure","Lady Gaga","AH Performs Lady Gaga"
"05/27/2017","49","The Cure","Lady Gaga","AH Performs Lady Gaga"
"06/03/2017","53","The Cure","Lady Gaga","AH Performs Lady Gaga"
"06/10/2017","57","The Cure","Lady Gaga","AH Performs Lady Gaga"
"06/17/2017","51","The Cure","Lady Gaga","AH Performs Lady Gaga"
"06/24/2017","46","The Cure","Lady Gaga","AH Performs Lady Gaga"
"07/01/2017","48","The Cure","Lady Gaga","AH Performs Lady Gaga"
"07/08/2017","57","The Cure","Lady Gaga","AH Performs Lady Gaga"
"07/15/2017","46","The Cure","Lady Gaga","AH Performs Lady Gaga"
"07/22/2017","50","The Cure","Lady Gaga","AH Performs Lady Gaga"
"07/29/2017","84","The Cure","Lady Gaga","AH Performs Lady Gaga"
"08/05/2017","87","The Cure","Lady Gaga","AH Performs Lady Gaga"
"10/13/2018","28","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"10/20/2018","5","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"10/20/2018","36","I'll Never Love Again","Lady Gaga","A Star Is Born Soundtrack"
"10/20/2018","41","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"10/20/2018","63","Is That Alright?","Lady Gaga","A Star Is Born Soundtrack"
"10/27/2018","10","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"10/27/2018","50","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"10/27/2018","54","I'll Never Love Again","Lady Gaga","A Star Is Born Soundtrack"
"11/03/2018","14","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"11/03/2018","57","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"11/03/2018","67","I'll Never Love Again","Lady Gaga","A Star Is Born Soundtrack"
"11/10/2018","21","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"11/10/2018","72","I'll Never Love Again","Lady Gaga","A Star Is Born Soundtrack"
"11/10/2018","74","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"11/17/2018","22","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"11/17/2018","81","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"11/17/2018","85","I'll Never Love Again","Lady Gaga","A Star Is Born Soundtrack"
"11/24/2018","24","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"11/24/2018","85","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"11/24/2018","97","I'll Never Love Again","Lady Gaga","A Star Is Born Soundtrack"
"12/01/2018","23","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"12/08/2018","28","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"12/15/2018","38","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"12/22/2018","39","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"12/29/2018","44","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"01/05/2019","52","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"01/12/2019","29","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"01/19/2019","23","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"01/26/2019","24","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"02/02/2019","24","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"02/09/2019","16","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"02/16/2019","24","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"02/23/2019","18","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"03/02/2019","21","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"03/09/2019","1","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"03/09/2019","47","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"03/09/2019","62","I'll Never Love Again","Lady Gaga","A Star Is Born Soundtrack"
"03/16/2019","6","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"03/16/2019","64","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"03/23/2019","9","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"03/23/2019","100","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)"
"03/30/2019","7","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"04/06/2019","10","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"04/13/2019","11","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"04/20/2019","13","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"04/27/2019","16","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"05/04/2019","15","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"05/11/2019","15","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"05/18/2019","19","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"05/25/2019","22","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"06/01/2019","36","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"06/08/2019","37","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"06/15/2019","43","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"06/22/2019","34","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"06/29/2019","39","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"07/06/2019","42","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"07/13/2019","49","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"07/20/2019","45","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"07/27/2019","48","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"08/03/2019","47","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"08/10/2019","47","Shallow","Lady Gaga","A Star Is Born Soundtrack"
"08/17/2019","49","Shallow","Lady Gaga","A Star Is Born Soundtrack"
