"Year","Rank","Song Title","Artist(s)","Album"
"01/09/1988","5","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"01/16/1988","3","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"01/23/1988","1","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"01/30/1988","4","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"02/06/1988","12","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"02/06/1988","48","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"02/13/1988","24","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"02/13/1988","36","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"02/20/1988","27","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"02/20/1988","37","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"02/27/1988","17","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"02/27/1988","52","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"03/05/1988","9","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"03/05/1988","72","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"03/12/1988","7","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"03/12/1988","88","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"03/19/1988","4","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"03/19/1988","98","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"03/26/1988","1","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"04/02/1988","1","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"04/09/1988","2","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"04/16/1988","4","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"04/23/1988","11","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"04/30/1988","19","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"05/07/1988","31","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"05/07/1988","53","Dirty Diana","Michael Jackson","Scream"
"05/07/1988","89","Get It","Michael Jackson","Characters"
"05/14/1988","40","Dirty Diana","Michael Jackson","Scream"
"05/14/1988","52","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"05/14/1988","87","Get It","Michael Jackson","Characters"
"05/21/1988","29","Dirty Diana","Michael Jackson","Scream"
"05/21/1988","71","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"05/21/1988","83","Get It","Michael Jackson","Characters"
"05/28/1988","17","Dirty Diana","Michael Jackson","Scream"
"05/28/1988","80","Get It","Michael Jackson","Characters"
"05/28/1988","97","Man In The Mirror","Michael Jackson","Bad 25th Anniversary"
"06/04/1988","12","Dirty Diana","Michael Jackson","Scream"
"06/04/1988","94","Get It","Michael Jackson","Characters"
"06/11/1988","8","Dirty Diana","Michael Jackson","Scream"
"06/11/1988","98","Get It","Michael Jackson","Characters"
"06/18/1988","4","Dirty Diana","Michael Jackson","Scream"
"06/25/1988","2","Dirty Diana","Michael Jackson","Scream"
"07/02/1988","1","Dirty Diana","Michael Jackson","Scream"
"07/09/1988","5","Dirty Diana","Michael Jackson","Scream"
"07/16/1988","15","Dirty Diana","Michael Jackson","Scream"
"07/23/1988","30","Dirty Diana","Michael Jackson","Scream"
"07/23/1988","54","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"07/30/1988","43","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"07/30/1988","51","Dirty Diana","Michael Jackson","Scream"
"08/06/1988","31","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"08/06/1988","77","Dirty Diana","Michael Jackson","Scream"
"08/13/1988","25","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"08/20/1988","20","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"08/27/1988","17","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"09/03/1988","12","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"09/10/1988","11","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"09/17/1988","12","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"09/24/1988","30","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"10/01/1988","45","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"10/08/1988","83","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"10/15/1988","96","Another Part Of Me","Michael Jackson","Bad 25th Anniversary"
"11/12/1988","66","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"11/19/1988","49","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"11/26/1988","38","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"12/03/1988","32","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"12/10/1988","25","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"12/17/1988","20","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"12/24/1988","13","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"12/31/1988","13","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"01/07/1989","10","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"01/14/1989","7","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"01/21/1989","7","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"01/28/1989","15","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"02/04/1989","31","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"02/11/1989","51","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"02/18/1989","80","Smooth Criminal","Michael Jackson","Bad 25th Anniversary"
"11/23/1991","35","Black Or White","Michael Jackson","Dangerous"
"11/30/1991","3","Black Or White","Michael Jackson","Dangerous"
"12/07/1991","1","Black Or White","Michael Jackson","Dangerous"
"12/14/1991","1","Black Or White","Michael Jackson","Dangerous"
"12/21/1991","1","Black Or White","Michael Jackson","Dangerous"
"12/28/1991","1","Black Or White","Michael Jackson","Dangerous"
"01/04/1992","1","Black Or White","Michael Jackson","Dangerous"
"01/11/1992","1","Black Or White","Michael Jackson","Dangerous"
"01/18/1992","1","Black Or White","Michael Jackson","Dangerous"
"01/25/1992","4","Black Or White","Michael Jackson","Dangerous"
"01/25/1992","53","Remember The Time","Michael Jackson","Dangerous"
"02/01/1992","9","Black Or White","Michael Jackson","Dangerous"
"02/01/1992","20","Remember The Time","Michael Jackson","Dangerous"
"02/08/1992","13","Remember The Time","Michael Jackson","Dangerous"
"02/08/1992","15","Black Or White","Michael Jackson","Dangerous"
"02/15/1992","8","Remember The Time","Michael Jackson","Dangerous"
"02/15/1992","20","Black Or White","Michael Jackson","Dangerous"
"02/22/1992","5","Remember The Time","Michael Jackson","Dangerous"
"02/22/1992","29","Black Or White","Michael Jackson","Dangerous"
"02/29/1992","4","Remember The Time","Michael Jackson","Dangerous"
"02/29/1992","35","Black Or White","Michael Jackson","Dangerous"
"03/07/1992","3","Remember The Time","Michael Jackson","Dangerous"
"03/07/1992","52","Black Or White","Michael Jackson","Dangerous"
"03/14/1992","3","Remember The Time","Michael Jackson","Dangerous"
"03/14/1992","61","Black Or White","Michael Jackson","Dangerous"
"03/21/1992","4","Remember The Time","Michael Jackson","Dangerous"
"03/21/1992","71","Black Or White","Michael Jackson","Dangerous"
"03/28/1992","3","Remember The Time","Michael Jackson","Dangerous"
"03/28/1992","75","Black Or White","Michael Jackson","Dangerous"
"04/04/1992","3","Remember The Time","Michael Jackson","Dangerous"
"04/04/1992","83","Black Or White","Michael Jackson","Dangerous"
"04/11/1992","4","Remember The Time","Michael Jackson","Dangerous"
"04/18/1992","11","Remember The Time","Michael Jackson","Dangerous"
"04/25/1992","16","Remember The Time","Michael Jackson","Dangerous"
"04/25/1992","46","In The Closet","Michael Jackson","Dangerous"
"05/02/1992","23","Remember The Time","Michael Jackson","Dangerous"
"05/02/1992","26","In The Closet","Michael Jackson","Dangerous"
"05/09/1992","14","In The Closet","Michael Jackson","Dangerous"
"05/09/1992","27","Remember The Time","Michael Jackson","Dangerous"
"05/16/1992","12","In The Closet","Michael Jackson","Dangerous"
"05/16/1992","34","Remember The Time","Michael Jackson","Dangerous"
"05/23/1992","10","In The Closet","Michael Jackson","Dangerous"
"05/23/1992","45","Remember The Time","Michael Jackson","Dangerous"
"05/30/1992","6","In The Closet","Michael Jackson","Dangerous"
"05/30/1992","49","Remember The Time","Michael Jackson","Dangerous"
"06/06/1992","8","In The Closet","Michael Jackson","Dangerous"
"06/06/1992","52","Remember The Time","Michael Jackson","Dangerous"
"06/13/1992","9","In The Closet","Michael Jackson","Dangerous"
"06/20/1992","12","In The Closet","Michael Jackson","Dangerous"
"06/27/1992","15","In The Closet","Michael Jackson","Dangerous"
"07/04/1992","22","In The Closet","Michael Jackson","Dangerous"
"07/11/1992","35","In The Closet","Michael Jackson","Dangerous"
"07/11/1992","64","Jam","Michael Jackson","Dangerous"
"07/18/1992","35","Jam","Michael Jackson","Dangerous"
"07/18/1992","44","In The Closet","Michael Jackson","Dangerous"
"07/25/1992","31","Jam","Michael Jackson","Dangerous"
"07/25/1992","56","In The Closet","Michael Jackson","Dangerous"
"08/01/1992","27","Jam","Michael Jackson","Dangerous"
"08/01/1992","65","In The Closet","Michael Jackson","Dangerous"
"08/08/1992","26","Jam","Michael Jackson","Dangerous"
"08/08/1992","68","In The Closet","Michael Jackson","Dangerous"
"08/15/1992","26","Jam","Michael Jackson","Dangerous"
"08/15/1992","79","In The Closet","Michael Jackson","Dangerous"
"08/22/1992","26","Jam","Michael Jackson","Dangerous"
"08/22/1992","88","In The Closet","Michael Jackson","Dangerous"
"08/29/1992","28","Jam","Michael Jackson","Dangerous"
"08/29/1992","90","In The Closet","Michael Jackson","Dangerous"
"09/05/1992","29","Jam","Michael Jackson","Dangerous"
"09/05/1992","100","In The Closet","Michael Jackson","Dangerous"
"09/12/1992","39","Jam","Michael Jackson","Dangerous"
"09/19/1992","59","Jam","Michael Jackson","Dangerous"
"09/26/1992","73","Jam","Michael Jackson","Dangerous"
"10/03/1992","87","Jam","Michael Jackson","Dangerous"
"10/10/1992","96","Jam","Michael Jackson","Dangerous"
"12/12/1992","74","Heal The World","Michael Jackson","Dangerous"
"12/19/1992","62","Heal The World","Michael Jackson","Dangerous"
"12/26/1992","54","Heal The World","Michael Jackson","Dangerous"
"01/02/1993","54","Heal The World","Michael Jackson","Dangerous"
"01/09/1993","54","Heal The World","Michael Jackson","Dangerous"
"01/16/1993","54","Heal The World","Michael Jackson","Dangerous"
"01/23/1993","53","Heal The World","Michael Jackson","Dangerous"
"01/30/1993","52","Heal The World","Michael Jackson","Dangerous"
"02/06/1993","56","Heal The World","Michael Jackson","Dangerous"
"02/13/1993","65","Heal The World","Michael Jackson","Dangerous"
"02/20/1993","54","Heal The World","Michael Jackson","Dangerous"
"02/27/1993","36","Heal The World","Michael Jackson","Dangerous"
"03/06/1993","34","Heal The World","Michael Jackson","Dangerous"
"03/13/1993","28","Heal The World","Michael Jackson","Dangerous"
"03/20/1993","27","Heal The World","Michael Jackson","Dangerous"
"03/27/1993","29","Heal The World","Michael Jackson","Dangerous"
"04/03/1993","32","Heal The World","Michael Jackson","Dangerous"
"04/10/1993","35","Heal The World","Michael Jackson","Dangerous"
"04/10/1993","44","Who Is It","Michael Jackson","Dangerous"
"04/17/1993","33","Who Is It","Michael Jackson","Dangerous"
"04/17/1993","39","Heal The World","Michael Jackson","Dangerous"
"04/24/1993","25","Who Is It","Michael Jackson","Dangerous"
"04/24/1993","42","Heal The World","Michael Jackson","Dangerous"
"05/01/1993","18","Who Is It","Michael Jackson","Dangerous"
"05/08/1993","15","Who Is It","Michael Jackson","Dangerous"
"05/15/1993","14","Who Is It","Michael Jackson","Dangerous"
"05/22/1993","14","Who Is It","Michael Jackson","Dangerous"
"05/29/1993","18","Who Is It","Michael Jackson","Dangerous"
"06/05/1993","21","Who Is It","Michael Jackson","Dangerous"
"06/12/1993","32","Who Is It","Michael Jackson","Dangerous"
"06/19/1993","39","Who Is It","Michael Jackson","Dangerous"
"06/26/1993","50","Who Is It","Michael Jackson","Dangerous"
"07/03/1993","61","Who Is It","Michael Jackson","Dangerous"
"07/10/1993","70","Who Is It","Michael Jackson","Dangerous"
"07/17/1993","63","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"07/17/1993","72","Who Is It","Michael Jackson","Dangerous"
"07/24/1993","45","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"07/24/1993","81","Who Is It","Michael Jackson","Dangerous"
"07/31/1993","36","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"07/31/1993","91","Who Is It","Michael Jackson","Dangerous"
"08/07/1993","27","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"08/07/1993","99","Who Is It","Michael Jackson","Dangerous"
"08/14/1993","24","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"08/21/1993","14","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"08/28/1993","12","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"09/04/1993","8","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"09/11/1993","7","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"09/18/1993","8","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"09/25/1993","7","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"10/02/1993","7","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"10/09/1993","8","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"10/16/1993","17","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"10/23/1993","26","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"10/30/1993","32","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"11/06/1993","40","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"11/13/1993","46","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"11/20/1993","53","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"11/27/1993","60","Will You Be There","Michael Jackson","FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK"
"06/17/1995","5","Scream/Childhood","Michael Jackson","none"
"06/24/1995","6","Scream/Childhood","Michael Jackson","none"
"07/01/1995","5","Scream/Childhood","Michael Jackson","none"
"07/08/1995","7","Scream/Childhood","Michael Jackson","none"
"07/15/1995","6","Scream/Childhood","Michael Jackson","none"
"07/22/1995","9","Scream/Childhood","Michael Jackson","none"
"07/29/1995","13","Scream/Childhood","Michael Jackson","none"
"08/05/1995","22","Scream/Childhood","Michael Jackson","none"
"08/12/1995","34","Scream/Childhood","Michael Jackson","none"
"08/19/1995","44","Scream/Childhood","Michael Jackson","none"
"08/26/1995","48","Scream/Childhood","Michael Jackson","none"
"09/02/1995","1","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"09/02/1995","60","Scream/Childhood","Michael Jackson","none"
"09/09/1995","2","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"09/09/1995","71","Scream/Childhood","Michael Jackson","none"
"09/16/1995","2","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"09/16/1995","70","Scream/Childhood","Michael Jackson","none"
"09/23/1995","2","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"09/23/1995","74","Scream/Childhood","Michael Jackson","none"
"09/30/1995","3","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"09/30/1995","81","Scream/Childhood","Michael Jackson","none"
"10/07/1995","3","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"10/07/1995","89","Scream/Childhood","Michael Jackson","none"
"10/14/1995","3","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"10/21/1995","5","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"10/28/1995","5","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"11/04/1995","8","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"11/11/1995","13","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"11/18/1995","19","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"11/25/1995","28","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"12/02/1995","36","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"12/09/1995","42","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"12/16/1995","51","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"12/23/1995","54","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"12/30/1995","57","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"01/06/1996","56","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"01/13/1996","59","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"06/08/1996","30","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"06/15/1996","30","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"06/22/1996","30","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"06/29/1996","30","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"07/06/1996","38","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"07/13/1996","44","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"07/20/1996","45","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"07/27/1996","58","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"08/03/1996","65","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"08/10/1996","72","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"08/17/1996","86","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"08/24/1996","89","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"08/31/1996","97","They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"05/10/1997","42","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"05/17/1997","44","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"05/24/1997","48","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"05/31/1997","57","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"06/07/1997","59","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"06/14/1997","68","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"06/21/1997","72","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"06/28/1997","86","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"07/05/1997","91","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"07/12/1997","93","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"07/19/1997","96","Blood On The Dance Floor","Michael Jackson","BLOOD ON THE DANCE FLOOR/ HIStory In The Mix"
"08/23/1997","91","Stranger In Moscow","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"08/30/1997","97","Stranger In Moscow","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I"
"09/08/2001","34","You Rock My World","Michael Jackson","Invincible"
"09/15/2001","11","You Rock My World","Michael Jackson","Invincible"
"09/22/2001","10","You Rock My World","Michael Jackson","Invincible"
"09/29/2001","14","You Rock My World","Michael Jackson","Invincible"
"10/06/2001","12","You Rock My World","Michael Jackson","Invincible"
"10/13/2001","13","You Rock My World","Michael Jackson","Invincible"
"10/20/2001","22","You Rock My World","Michael Jackson","Invincible"
"10/27/2001","29","You Rock My World","Michael Jackson","Invincible"
"11/03/2001","51","You Rock My World","Michael Jackson","Invincible"
"11/10/2001","57","You Rock My World","Michael Jackson","Invincible"
"11/17/2001","60","Butterflies","Michael Jackson","Invincible"
"11/17/2001","64","You Rock My World","Michael Jackson","Invincible"
"11/24/2001","49","Butterflies","Michael Jackson","Invincible"
"11/24/2001","77","You Rock My World","Michael Jackson","Invincible"
"12/01/2001","33","Butterflies","Michael Jackson","Invincible"
"12/01/2001","80","You Rock My World","Michael Jackson","Invincible"
"12/08/2001","32","Butterflies","Michael Jackson","Invincible"
"12/08/2001","83","You Rock My World","Michael Jackson","Invincible"
"12/15/2001","30","Butterflies","Michael Jackson","Invincible"
"12/15/2001","83","You Rock My World","Michael Jackson","Invincible"
"12/22/2001","26","Butterflies","Michael Jackson","Invincible"
"12/22/2001","87","You Rock My World","Michael Jackson","Invincible"
"12/29/2001","21","Butterflies","Michael Jackson","Invincible"
"12/29/2001","90","You Rock My World","Michael Jackson","Invincible"
"01/05/2002","19","Butterflies","Michael Jackson","Invincible"
"01/05/2002","98","You Rock My World","Michael Jackson","Invincible"
"01/12/2002","17","Butterflies","Michael Jackson","Invincible"
"01/12/2002","91","You Rock My World","Michael Jackson","Invincible"
"01/19/2002","16","Butterflies","Michael Jackson","Invincible"
"01/19/2002","92","You Rock My World","Michael Jackson","Invincible"
"01/26/2002","14","Butterflies","Michael Jackson","Invincible"
"02/02/2002","14","Butterflies","Michael Jackson","Invincible"
"02/09/2002","15","Butterflies","Michael Jackson","Invincible"
"02/16/2002","17","Butterflies","Michael Jackson","Invincible"
"02/23/2002","21","Butterflies","Michael Jackson","Invincible"
"03/02/2002","29","Butterflies","Michael Jackson","Invincible"
"03/09/2002","35","Butterflies","Michael Jackson","Invincible"
"03/16/2002","34","Butterflies","Michael Jackson","Invincible"
"03/23/2002","52","Butterflies","Michael Jackson","Invincible"
"03/30/2002","54","Butterflies","Michael Jackson","Invincible"
"12/06/2003","95","One More Chance","Michael Jackson","Sunset Sessions: Michael Jackson"
"12/13/2003","83","One More Chance","Michael Jackson","Sunset Sessions: Michael Jackson"
"12/20/2003","98","One More Chance","Michael Jackson","Sunset Sessions: Michael Jackson"
"12/27/2003","100","One More Chance","Michael Jackson","Sunset Sessions: Michael Jackson"
"01/03/2004","100","One More Chance","Michael Jackson","Sunset Sessions: Michael Jackson"
"02/09/2008","81","Wanna Be Startin' Somethin' 2008","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/16/2008","92","Wanna Be Startin' Somethin' 2008","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/23/2008","99","Wanna Be Startin' Somethin' 2008","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/04/2010","84","Hold My Hand","Michael Jackson","Michael"
"12/11/2010","50","Hold My Hand","Michael Jackson","Michael"
"12/18/2010","66","Hold My Hand","Michael Jackson","Michael"
"12/25/2010","65","Hold My Hand","Michael Jackson","Michael"
"01/01/2011","39","Hold My Hand","Michael Jackson","Michael"
"01/08/2011","49","Hold My Hand","Michael Jackson","Michael"
"01/15/2011","59","Hold My Hand","Michael Jackson","Michael"
"01/22/2011","70","Hold My Hand","Michael Jackson","Michael"
"01/29/2011","91","Hold My Hand","Michael Jackson","Michael"
"11/16/2013","42","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/17/2014","20","Love Never Felt So Good","Michael Jackson","XSCAPE"
"05/24/2014","22","Love Never Felt So Good","Michael Jackson","XSCAPE"
"05/31/2014","9","Love Never Felt So Good","Michael Jackson","XSCAPE"
"06/07/2014","14","Billie Jean","Michael Jackson","Tabula Rasa"
"06/07/2014","16","Love Never Felt So Good","Michael Jackson","XSCAPE"
"06/07/2014","45","Slave To The Rhythm","Michael Jackson","XSCAPE"
"06/14/2014","27","Love Never Felt So Good","Michael Jackson","XSCAPE"
"06/21/2014","29","Love Never Felt So Good","Michael Jackson","XSCAPE"
"06/28/2014","33","Love Never Felt So Good","Michael Jackson","XSCAPE"
"07/05/2014","36","Love Never Felt So Good","Michael Jackson","XSCAPE"
"07/12/2014","42","Love Never Felt So Good","Michael Jackson","XSCAPE"
"07/19/2014","54","Love Never Felt So Good","Michael Jackson","XSCAPE"
"07/26/2014","55","Love Never Felt So Good","Michael Jackson","XSCAPE"
"08/02/2014","63","Love Never Felt So Good","Michael Jackson","XSCAPE"
"08/09/2014","69","Love Never Felt So Good","Michael Jackson","XSCAPE"
"08/16/2014","74","Love Never Felt So Good","Michael Jackson","XSCAPE"
"08/23/2014","77","Love Never Felt So Good","Michael Jackson","XSCAPE"
"08/30/2014","73","Love Never Felt So Good","Michael Jackson","XSCAPE"
"09/06/2014","76","Love Never Felt So Good","Michael Jackson","XSCAPE"
"09/13/2014","79","Love Never Felt So Good","Michael Jackson","XSCAPE"
"09/20/2014","81","Love Never Felt So Good","Michael Jackson","XSCAPE"
"09/27/2014","88","Love Never Felt So Good","Michael Jackson","XSCAPE"
"11/15/2014","35","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/21/2015","45","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/14/2018","9","Don't Matter To Me","Michael Jackson","Scorpion"
"07/21/2018","21","Don't Matter To Me","Michael Jackson","Scorpion"
"07/28/2018","33","Don't Matter To Me","Michael Jackson","Scorpion"
"08/04/2018","54","Don't Matter To Me","Michael Jackson","Scorpion"
"08/11/2018","66","Don't Matter To Me","Michael Jackson","Scorpion"
"11/10/2018","31","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/09/2019","44","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
