Year,Rank,Song Title,Artist,Album
6/21/69,24,The Ballad Of John And Yoko,The Beatles,1
6/28/69,3,Get Back,The Beatles,Let It Be
6/28/69,11,The Ballad Of John And Yoko,The Beatles,1
7/5/69,6,Get Back,The Beatles,Let It Be
7/5/69,11,The Ballad Of John And Yoko,The Beatles,1
7/12/69,8,The Ballad Of John And Yoko,The Beatles,1
7/12/69,12,Get Back,The Beatles,Let It Be
7/19/69,8,The Ballad Of John And Yoko,The Beatles,1
7/19/69,16,Get Back,The Beatles,Let It Be
7/26/69,8,The Ballad Of John And Yoko,The Beatles,1
7/26/69,27,Get Back,The Beatles,Let It Be
8/2/69,10,The Ballad Of John And Yoko,The Beatles,1
8/9/69,29,The Ballad Of John And Yoko,The Beatles,1
10/18/69,20,Something,The Beatles,Abbey Road
10/18/69,23,Come Together/Something,The Beatles,Abbey Road
10/25/69,11,Something,The Beatles,Abbey Road
10/25/69,13,Come Together/Something,The Beatles,Abbey Road
11/1/69,10,Come Together/Something,The Beatles,Abbey Road
11/1/69,11,Something,The Beatles,Abbey Road
11/8/69,3,Come Together/Something,The Beatles,Abbey Road
11/8/69,9,Something,The Beatles,Abbey Road
11/15/69,2,Come Together/Something,The Beatles,Abbey Road
11/15/69,3,Something,The Beatles,Abbey Road
11/22/69,3,Something,The Beatles,Abbey Road
11/22/69,7,Come Together/Something,The Beatles,Abbey Road
11/29/69,1,Come Together/Something,The Beatles,Abbey Road
12/6/69,3,Come Together/Something,The Beatles,Abbey Road
12/13/69,4,Come Together/Something,The Beatles,Abbey Road
12/20/69,6,Come Together/Something,The Beatles,Abbey Road
12/27/69,7,Come Together/Something,The Beatles,Abbey Road
1/3/70,12,Come Together/Something,The Beatles,Abbey Road
1/10/70,16,Come Together/Something,The Beatles,Abbey Road
1/17/70,20,Come Together/Something,The Beatles,Abbey Road
1/24/70,22,Come Together/Something,The Beatles,Abbey Road
1/31/70,29,Come Together/Something,The Beatles,Abbey Road
3/21/70,6,Let It Be,The Beatles,Let It Be
3/28/70,2,Let It Be,The Beatles,Let It Be
4/4/70,2,Let It Be,The Beatles,Let It Be
4/11/70,1,Let It Be,The Beatles,Let It Be
4/18/70,1,Let It Be,The Beatles,Let It Be
4/25/70,2,Let It Be,The Beatles,Let It Be
5/2/70,2,Let It Be,The Beatles,Let It Be
5/9/70,3,Let It Be,The Beatles,Let It Be
5/16/70,4,Let It Be,The Beatles,Let It Be
5/23/70,6,Let It Be,The Beatles,Let It Be
5/23/70,35,The Long And Winding Road/For You Blue,The Beatles,None
5/30/70,10,Let It Be,The Beatles,Let It Be
5/30/70,12,The Long And Winding Road/For You Blue,The Beatles,None
6/6/70,10,The Long And Winding Road/For You Blue,The Beatles,None
6/6/70,21,Let It Be,The Beatles,Let It Be
6/13/70,1,The Long And Winding Road/For You Blue,The Beatles,None
6/13/70,23,Let It Be,The Beatles,Let It Be
6/20/70,1,The Long And Winding Road/For You Blue,The Beatles,None
6/20/70,44,Let It Be,The Beatles,Let It Be
6/27/70,4,The Long And Winding Road/For You Blue,The Beatles,None
7/4/70,4,The Long And Winding Road/For You Blue,The Beatles,None
7/11/70,8,The Long And Winding Road/For You Blue,The Beatles,None
7/18/70,20,The Long And Winding Road/For You Blue,The Beatles,None
7/25/70,21,The Long And Winding Road/For You Blue,The Beatles,None
6/12/76,54,Got To Get You Into My Life,The Beatles,Revolver
6/19/76,29,Got To Get You Into My Life,The Beatles,Revolver
6/26/76,18,Got To Get You Into My Life,The Beatles,Revolver
7/3/76,12,Got To Get You Into My Life,The Beatles,Revolver
7/10/76,10,Got To Get You Into My Life,The Beatles,Revolver
7/17/76,8,Got To Get You Into My Life,The Beatles,Revolver
7/24/76,7,Got To Get You Into My Life,The Beatles,Revolver
7/31/76,7,Got To Get You Into My Life,The Beatles,Revolver
8/7/76,7,Got To Get You Into My Life,The Beatles,Revolver
8/14/76,19,Got To Get You Into My Life,The Beatles,Revolver
8/21/76,23,Got To Get You Into My Life,The Beatles,Revolver
8/28/76,38,Got To Get You Into My Life,The Beatles,Revolver
9/4/76,53,Got To Get You Into My Life,The Beatles,Revolver
9/11/76,60,Got To Get You Into My Life,The Beatles,Revolver
9/18/76,59,Got To Get You Into My Life,The Beatles,Revolver
9/25/76,99,Got To Get You Into My Life,The Beatles,Revolver
9/16/78,87,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,Marching With The Beatles
9/23/78,83,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,Marching With The Beatles
9/30/78,71,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,Marching With The Beatles
10/7/78,71,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,Marching With The Beatles
10/14/78,75,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,Marching With The Beatles
10/21/78,94,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,Marching With The Beatles
10/28/78,91,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,Marching With The Beatles
3/27/82,70,The Beatles' Movie Medley,The Beatles,None
4/3/82,50,The Beatles' Movie Medley,The Beatles,None
4/10/82,34,The Beatles' Movie Medley,The Beatles,None
4/17/82,22,The Beatles' Movie Medley,The Beatles,None
4/24/82,17,The Beatles' Movie Medley,The Beatles,None
5/1/82,14,The Beatles' Movie Medley,The Beatles,None
5/8/82,12,The Beatles' Movie Medley,The Beatles,None
5/15/82,12,The Beatles' Movie Medley,The Beatles,None
5/22/82,12,The Beatles' Movie Medley,The Beatles,None
5/29/82,20,The Beatles' Movie Medley,The Beatles,None
6/5/82,92,The Beatles' Movie Medley,The Beatles,None
8/9/86,89,Twist And Shout,The Beatles,Please Please Me
8/16/86,65,Twist And Shout,The Beatles,Please Please Me
8/23/86,55,Twist And Shout,The Beatles,Please Please Me
8/30/86,39,Twist And Shout,The Beatles,Please Please Me
9/6/86,32,Twist And Shout,The Beatles,Please Please Me
9/13/86,29,Twist And Shout,The Beatles,Please Please Me
9/20/86,25,Twist And Shout,The Beatles,Please Please Me
9/27/86,23,Twist And Shout,The Beatles,Please Please Me
10/4/86,26,Twist And Shout,The Beatles,Please Please Me
10/11/86,36,Twist And Shout,The Beatles,Please Please Me
10/18/86,47,Twist And Shout,The Beatles,Please Please Me
10/25/86,56,Twist And Shout,The Beatles,Please Please Me
11/1/86,71,Twist And Shout,The Beatles,Please Please Me
11/8/86,75,Twist And Shout,The Beatles,Please Please Me
11/15/86,99,Twist And Shout,The Beatles,Please Please Me
4/22/95,67,Baby It's You,The Beatles,Please Please Me
4/29/95,79,Baby It's You,The Beatles,Please Please Me
5/6/95,89,Baby It's You,The Beatles,Please Please Me
5/13/95,99,Baby It's You,The Beatles,Please Please Me
12/30/95,10,Free As A Bird,The Beatles,Panpipes Play The Beatles
1/6/96,6,Free As A Bird,The Beatles,Panpipes Play The Beatles
1/13/96,15,Free As A Bird,The Beatles,Panpipes Play The Beatles
1/20/96,32,Free As A Bird,The Beatles,Panpipes Play The Beatles
1/27/96,57,Free As A Bird,The Beatles,Panpipes Play The Beatles
2/3/96,63,Free As A Bird,The Beatles,Panpipes Play The Beatles
2/10/96,77,Free As A Bird,The Beatles,Panpipes Play The Beatles
2/17/96,91,Free As A Bird,The Beatles,Panpipes Play The Beatles
2/24/96,98,Free As A Bird,The Beatles,Panpipes Play The Beatles
3/2/96,93,Free As A Bird,The Beatles,Panpipes Play The Beatles
3/9/96,99,Free As A Bird,The Beatles,Panpipes Play The Beatles
3/23/96,11,Real Love,The Beatles,Panpipes Play The Beatles
3/30/96,26,Real Love,The Beatles,Panpipes Play The Beatles
4/6/96,21,Real Love,The Beatles,Panpipes Play The Beatles
4/13/96,54,Real Love,The Beatles,Panpipes Play The Beatles
4/20/96,60,Real Love,The Beatles,Panpipes Play The Beatles
4/27/96,70,Real Love,The Beatles,Panpipes Play The Beatles
5/4/96,88,Real Love,The Beatles,Panpipes Play The Beatles
