Year,Rank,Song Title,Artist,Album
5/22/10,11,Alejandro,Lady Gaga,The Fame Monster
5/22/10,14,Telephone,Lady Gaga,The Fame Monster
5/22/10,31,Bad Romance,Lady Gaga,The Fame Monster
5/29/10,8,Alejandro,Lady Gaga,The Fame Monster
5/29/10,17,Telephone,Lady Gaga,The Fame Monster
5/29/10,34,Bad Romance,Lady Gaga,The Fame Monster
6/5/10,6,Alejandro,Lady Gaga,The Fame Monster
6/5/10,22,Telephone,Lady Gaga,The Fame Monster
6/5/10,35,Bad Romance,Lady Gaga,The Fame Monster
6/12/10,6,Alejandro,Lady Gaga,The Fame Monster
6/12/10,23,Telephone,Lady Gaga,The Fame Monster
6/12/10,30,Bad Romance,Lady Gaga,The Fame Monster
6/19/10,7,Alejandro,Lady Gaga,The Fame Monster
6/19/10,23,Telephone,Lady Gaga,The Fame Monster
6/19/10,37,Bad Romance,Lady Gaga,The Fame Monster
6/26/10,5,Alejandro,Lady Gaga,The Fame Monster
6/26/10,30,Telephone,Lady Gaga,The Fame Monster
6/26/10,46,Bad Romance,Lady Gaga,The Fame Monster
7/3/10,7,Alejandro,Lady Gaga,The Fame Monster
7/3/10,35,Telephone,Lady Gaga,The Fame Monster
7/3/10,50,Bad Romance,Lady Gaga,The Fame Monster
7/10/10,9,Alejandro,Lady Gaga,The Fame Monster
7/10/10,43,Telephone,Lady Gaga,The Fame Monster
7/17/10,12,Alejandro,Lady Gaga,The Fame Monster
7/17/10,46,Telephone,Lady Gaga,The Fame Monster
7/24/10,13,Alejandro,Lady Gaga,The Fame Monster
7/24/10,43,Telephone,Lady Gaga,The Fame Monster
7/31/10,14,Alejandro,Lady Gaga,The Fame Monster
8/7/10,18,Alejandro,Lady Gaga,The Fame Monster
8/14/10,21,Alejandro,Lady Gaga,The Fame Monster
8/21/10,22,Alejandro,Lady Gaga,The Fame Monster
8/28/10,28,Alejandro,Lady Gaga,The Fame Monster
9/4/10,38,Alejandro,Lady Gaga,The Fame Monster
9/11/10,44,Alejandro,Lady Gaga,The Fame Monster
9/18/10,46,Alejandro,Lady Gaga,The Fame Monster
2/26/11,1,Born This Way,Lady Gaga,Born This Way
3/5/11,1,Born This Way,Lady Gaga,Born This Way
3/12/11,1,Born This Way,Lady Gaga,Born This Way
3/19/11,1,Born This Way,Lady Gaga,Born This Way
3/26/11,1,Born This Way,Lady Gaga,Born This Way
4/2/11,1,Born This Way,Lady Gaga,Born This Way
4/9/11,4,Born This Way,Lady Gaga,Born This Way
4/16/11,5,Born This Way,Lady Gaga,Born This Way
4/23/11,5,Born This Way,Lady Gaga,Born This Way
4/30/11,10,Judas,Lady Gaga,Born This Way
4/30/11,13,Born This Way,Lady Gaga,Born This Way
5/7/11,12,Judas,Lady Gaga,Born This Way
5/7/11,15,Born This Way,Lady Gaga,Born This Way
5/14/11,16,Born This Way,Lady Gaga,Born This Way
5/14/11,20,Judas,Lady Gaga,Born This Way
5/21/11,18,Born This Way,Lady Gaga,Born This Way
5/21/11,19,Judas,Lady Gaga,Born This Way
5/28/11,3,The Edge Of Glory,Lady Gaga,Born This Way
5/28/11,19,Born This Way,Lady Gaga,Born This Way
5/28/11,27,Judas,Lady Gaga,Born This Way
6/4/11,12,Hair,Lady Gaga,Born This Way
6/4/11,19,The Edge Of Glory,Lady Gaga,Born This Way
6/4/11,24,Born This Way,Lady Gaga,Born This Way
6/4/11,41,Judas,Lady Gaga,Born This Way
6/11/11,8,The Edge Of Glory,Lady Gaga,Born This Way
6/11/11,36,You And I,Lady Gaga,Born This Way
6/11/11,42,Born This Way,Lady Gaga,Born This Way
6/11/11,79,Marry The Night,Lady Gaga,Born This Way
6/18/11,7,The Edge Of Glory,Lady Gaga,Born This Way
6/18/11,37,Born This Way,Lady Gaga,Born This Way
6/18/11,78,Judas,Lady Gaga,Born This Way
6/25/11,6,The Edge Of Glory,Lady Gaga,Born This Way
6/25/11,49,Born This Way,Lady Gaga,Born This Way
6/25/11,92,Judas,Lady Gaga,Born This Way
7/2/11,6,The Edge Of Glory,Lady Gaga,Born This Way
7/2/11,56,Born This Way,Lady Gaga,Born This Way
7/9/11,6,The Edge Of Glory,Lady Gaga,Born This Way
7/9/11,57,Born This Way,Lady Gaga,Born This Way
7/16/11,6,The Edge Of Glory,Lady Gaga,Born This Way
7/23/11,6,The Edge Of Glory,Lady Gaga,Born This Way
7/30/11,7,The Edge Of Glory,Lady Gaga,Born This Way
8/6/11,8,The Edge Of Glory,Lady Gaga,Born This Way
8/13/11,10,The Edge Of Glory,Lady Gaga,Born This Way
8/20/11,12,The Edge Of Glory,Lady Gaga,Born This Way
8/27/11,14,The Edge Of Glory,Lady Gaga,Born This Way
8/27/11,96,You And I,Lady Gaga,Born This Way
9/3/11,16,The Edge Of Glory,Lady Gaga,Born This Way
9/3/11,35,You And I,Lady Gaga,Born This Way
9/10/11,16,You And I,Lady Gaga,Born This Way
9/10/11,21,The Edge Of Glory,Lady Gaga,Born This Way
9/17/11,6,You And I,Lady Gaga,Born This Way
9/17/11,25,The Edge Of Glory,Lady Gaga,Born This Way
9/24/11,8,You And I,Lady Gaga,Born This Way
9/24/11,29,The Edge Of Glory,Lady Gaga,Born This Way
10/1/11,10,You And I,Lady Gaga,Born This Way
10/1/11,34,The Edge Of Glory,Lady Gaga,Born This Way
10/8/11,8,You And I,Lady Gaga,Born This Way
10/8/11,31,The Edge Of Glory,Lady Gaga,Born This Way
10/15/11,12,You And I,Lady Gaga,Born This Way
10/15/11,37,The Edge Of Glory,Lady Gaga,Born This Way
10/22/11,10,You And I,Lady Gaga,Born This Way
10/22/11,40,The Edge Of Glory,Lady Gaga,Born This Way
10/29/11,11,You And I,Lady Gaga,Born This Way
10/29/11,44,The Edge Of Glory,Lady Gaga,Born This Way
11/5/11,13,You And I,Lady Gaga,Born This Way
11/5/11,50,The Edge Of Glory,Lady Gaga,Born This Way
11/12/11,15,You And I,Lady Gaga,Born This Way
11/19/11,23,You And I,Lady Gaga,Born This Way
11/26/11,31,You And I,Lady Gaga,Born This Way
12/3/11,33,You And I,Lady Gaga,Born This Way
12/3/11,97,Marry The Night,Lady Gaga,Born This Way
12/10/11,29,You And I,Lady Gaga,Born This Way
12/10/11,59,Marry The Night,Lady Gaga,Born This Way
12/17/11,32,Marry The Night,Lady Gaga,Born This Way
12/17/11,39,You And I,Lady Gaga,Born This Way
12/24/11,29,Marry The Night,Lady Gaga,Born This Way
12/24/11,59,You And I,Lady Gaga,Born This Way
12/31/11,33,Marry The Night,Lady Gaga,Born This Way
12/31/11,62,You And I,Lady Gaga,Born This Way
1/7/12,39,Marry The Night,Lady Gaga,Born This Way
1/14/12,37,Marry The Night,Lady Gaga,Born This Way
1/21/12,39,Marry The Night,Lady Gaga,Born This Way
1/28/12,53,Marry The Night,Lady Gaga,Born This Way
2/4/12,65,Marry The Night,Lady Gaga,Born This Way
2/11/12,93,Marry The Night,Lady Gaga,Born This Way
8/31/13,6,Applause,Lady Gaga,Artpop
9/7/13,4,Applause,Lady Gaga,Artpop
9/14/13,6,Applause,Lady Gaga,Artpop
9/21/13,7,Applause,Lady Gaga,Artpop
9/28/13,7,Applause,Lady Gaga,Artpop
10/5/13,8,Applause,Lady Gaga,Artpop
10/12/13,9,Applause,Lady Gaga,Artpop
10/19/13,9,Applause,Lady Gaga,Artpop
10/26/13,8,Applause,Lady Gaga,Artpop
11/2/13,9,Applause,Lady Gaga,Artpop
11/9/13,7,Applause,Lady Gaga,Artpop
11/9/13,13,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
11/16/13,10,Applause,Lady Gaga,Artpop
11/16/13,32,Venus,Lady Gaga,Artpop
11/16/13,58,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
11/23/13,8,Dope,Lady Gaga,Artpop
11/23/13,10,Applause,Lady Gaga,Artpop
11/23/13,48,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
11/30/13,9,Applause,Lady Gaga,Artpop
11/30/13,18,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
11/30/13,71,Dope,Lady Gaga,Artpop
12/7/13,14,Applause,Lady Gaga,Artpop
12/7/13,20,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
12/14/13,14,Applause,Lady Gaga,Artpop
12/14/13,17,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
12/21/13,18,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
12/21/13,19,Applause,Lady Gaga,Artpop
12/28/13,16,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
12/28/13,20,Applause,Lady Gaga,Artpop
1/4/14,16,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
