Year,Rank,Song Title,Artist(s)
8/27/83,66,Wanna Be Startin' Somethin',Michael Jackson
9/3/83,10,Human Nature,Michael Jackson
9/3/83,89,Wanna Be Startin' Somethin',Michael Jackson
9/10/83,9,Human Nature,Michael Jackson
9/17/83,7,Human Nature,Michael Jackson
9/24/83,7,Human Nature,Michael Jackson
10/1/83,15,Human Nature,Michael Jackson
10/8/83,24,Human Nature,Michael Jackson
10/8/83,75,P.Y.T. (Pretty Young Thing),Michael Jackson
10/15/83,26,Say Say Say,Michael Jackson
10/15/83,55,P.Y.T. (Pretty Young Thing),Michael Jackson
10/15/83,61,Human Nature,Michael Jackson
10/22/83,19,Say Say Say,Michael Jackson
10/22/83,32,P.Y.T. (Pretty Young Thing),Michael Jackson
10/22/83,87,Human Nature,Michael Jackson
10/29/83,11,Say Say Say,Michael Jackson
10/29/83,23,P.Y.T. (Pretty Young Thing),Michael Jackson
11/5/83,6,Say Say Say,Michael Jackson
11/5/83,20,P.Y.T. (Pretty Young Thing),Michael Jackson
11/12/83,4,Say Say Say,Michael Jackson
11/12/83,18,P.Y.T. (Pretty Young Thing),Michael Jackson
11/19/83,2,Say Say Say,Michael Jackson
11/19/83,13,P.Y.T. (Pretty Young Thing),Michael Jackson
11/26/83,2,Say Say Say,Michael Jackson
11/26/83,10,P.Y.T. (Pretty Young Thing),Michael Jackson
12/3/83,2,Say Say Say,Michael Jackson
12/3/83,12,P.Y.T. (Pretty Young Thing),Michael Jackson
12/10/83,1,Say Say Say,Michael Jackson
12/10/83,20,P.Y.T. (Pretty Young Thing),Michael Jackson
12/17/83,1,Say Say Say,Michael Jackson
12/17/83,36,P.Y.T. (Pretty Young Thing),Michael Jackson
12/24/83,1,Say Say Say,Michael Jackson
12/24/83,47,P.Y.T. (Pretty Young Thing),Michael Jackson
12/31/83,1,Say Say Say,Michael Jackson
12/31/83,47,P.Y.T. (Pretty Young Thing),Michael Jackson
1/7/84,1,Say Say Say,Michael Jackson
1/7/84,64,P.Y.T. (Pretty Young Thing),Michael Jackson
1/14/84,1,Say Say Say,Michael Jackson
1/14/84,71,P.Y.T. (Pretty Young Thing),Michael Jackson
1/21/84,2,Say Say Say,Michael Jackson
1/21/84,75,P.Y.T. (Pretty Young Thing),Michael Jackson
1/28/84,7,Say Say Say,Michael Jackson
2/4/84,13,Say Say Say,Michael Jackson
